"","Region","Year","TyphoidRate","DiarrheaRate","HepatitisRate","UnsafeRisk","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","People practicing open defecation (% of population)","People using at least basic drinking water services (% of population)","People using at least basic sanitation services (% of population)","People using safely managed drinking water services (% of population)","People using safely managed sanitation services (% of population)","People with basic handwashing facilities including soap and water (% of population)","Population density (people per sq. km of land area)","Population, total","Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
"65","Eastern Mediterranean Region",2020,0.03,11.07,0.62,1.72,431.253740068714,4.06791453382353,89.3134692133333,86.9488601957143,75.20041739,63.580784138125,NA,240.516440190619,34821501,70.9308024981
"66","Eastern Mediterranean Region",2021,0.02,10.96,0.6,1.49,430.398791680619,3.78614193258824,89.7219293947619,87.2359410657143,75.4674489861539,63.877665955625,NA,242.710988120476,35375734.4090909,73.41091647025
"67","South-East Asia Region",2000,0.22,21.77,0.83,10.13,32.6113729797143,25.9388451617778,82.98229291,49.68673914,38.4426778242857,23.6547845343333,NA,307.067591757273,144179356.909091,64.1032180406667
"68","South-East Asia Region",2001,0.22,21.73,0.82,9.71,32.8799489745714,24.7696590117778,83.584612974,51.0448415488889,38.8265474957143,24.499671473,NA,312.278659394545,146663349.545455,63.5413954496667
"69","South-East Asia Region",2002,0.21,21.72,0.8,9.39,33.1961440167143,23.5587999373333,84.191099469,52.5989077755556,39.2051415357143,25.3818978423333,NA,317.232426975455,149090501.181818,68.8884354648333
"70","South-East Asia Region",2003,0.2,21.73,0.78,9.16,33.5123390587143,22.3583734377778,84.794384366,54.1586098811111,39.5868473471429,26.2702078033333,NA,321.84095182,151448946.727273,79.1533981925
"71","South-East Asia Region",2004,0.19,21.71,0.77,8.7,33.1625164378571,21.1685319451111,85.388157612,55.7236136633333,39.96621697,27.326943385,NA,326.268220876364,153780188.363636,84.7805562753333
"72","South-East Asia Region",2005,0.18,21.75,0.77,8.58,33.0528533227143,19.9902721743333,85.947131047,57.3012508944444,40.3200871557143,28.3653198433333,NA,330.544898208182,156050778.454545,85.8508349113333
"73","South-East Asia Region",2006,0.18,21.81,0.76,8.31,33.294217887,18.8289141745556,86.495167636,58.86860925,40.6719538914286,29.40160891,NA,335.475392961818,158272084.272727,103.007541074667
"74","South-East Asia Region",2007,0.17,21.91,0.74,8.04,33.5627933355714,17.6855095751111,87.038144767,60.4305147022222,41.0263722914286,30.45588705,NA,341.266767356364,160444591.090909,106.196316257
